II_Jahr;II_Monat ;II_Tag  ;II_Bae_ver_m;II_Bae_ver_f;II_Bae_rho_m;II_Bae_roh_f;II_Bae_sp_m;II_Bae_sp_f;II_Eph_muc_m;II_Eph_muc_f;II_Eph_ign_m;II_Eph_ign_f;II_Cen_lut_m;II_Cen_lut_f;II_Par_suII_m;II_Par_suII_f;II_Ecd_suII_m;II_Ecd_suII_f;II_HaII_fus_m;II_HaII_fus_f;II_HaII_lau_m;II_HaII_lau_f;II_Epe_ass_m;II_Epe_ass_f;II_Bae_mut_m;II_Bae_mut_f;II_Bae_fus_m;II_Bae_fus_f;II_Bae_sca_m;II_Bae_sca_f;II_Eph_dan_m;II_Eph_dan_f;II_Rhi_sp_m;II_Rhi_sp_f;II_EEE_m;II_EEE_f;II_EEE;II_Amp_sta_m;II_Amp_sta_f;II_Amp_sul_m;II_Amp_sul_f;II_Bra_ris_m;II_Bra_ris_f;II_Bra_set_m;II_Bra_set_f;II_Iso_gra_m;II_Iso_gra_f;II_Iso_goe_m;II_Iso_goe_f;II_Leu_dig_m;II_Leu_dig_f;II_Leu_fus_m;II_Leu_fus_f;II_Leu_ine_m;II_Leu_ine_f;II_Leu_nig_m;II_Leu_nig_f;II_Leu_pri_m;II_Leu_pri_f;II_Leu_sp_m;II_Leu_sp_f;II_Leu_sp_?;II_Nem_cam_m;II_Nem_cam_f;II_Nem_cin_m;II_Nem_cin_f;II_Nem_fle_m;II_Nem_fle_f;II_Nem_mar_m;II_Nem_mar_f;II_Nrl_pic_m;II_Nrl_pic_f;II_Nem_sp_f;II_Nem_sp_?;II_Per_dis_m;II_Per_dis_f;II_Per_mic_m;II_Per_mic_f;II_Pro_auII_m;II_Pro_auII_f;II_Pro_int_m;II_Pro_int_f;II_Pro_mey_m;II_Pro_mey_f;II_Pro_nit_m;II_Pro_nit_f;II_Sip_tor_m;II_Sip_tor_f;II_PPP_m;II_PPP_f;II_PPP;II_Pro_sp_?;II_Adi_fil_m;II_Adi_fil_f;II_Adi_red_m;II_Adi_red_f;II_Aga_fus_m;II_Aga_fus_f;II_Agr_mul_m;II_Agr_mul_f;II_Ana_ner_m;II_Ana_ner_f;II_Ann_obs_m;II_Ann_obs_f;II_Apa_fim_m;II_Apa_fim_f;II_Ath_ate_m;II_Ath_ate_f;II_Ber_eid_m;II_Ber_eid_f;II_Ber_pul_m;II_Ber_pul_f;II_Bra_suII_m;II_Bra_suII_f;II_Cer_dis_m;II_Cer_dis_f;II_Cha_vil_m;II_Cha_vil_f;II_Che_lep_m;II_Che_lep_f;II_Cru_irr_m;II_Cru_irr_f;II_Cyr_tri_m;II_Cyr_tri_f;II_Dip_fel_m;II_Dip_fel_f;II_Dru_ann_m;II_Dru_ann_f;II_Dru_big_m;II_Dru_big_f;II_Glo_con_m;II_Glo_con_f;II_Gly_pel_m;II_Gly_pel_f;II_Gra_nig_m;II_Gra_nig_f;II_Gra_nit_m;II_Gra_nit_f;II_Hal_dig_m;II_Hal_dig_f;II_Hal_rad_m;II_Hal_rad_f;II_Hal_tes_m;II_Hal_tes_f;II_Hyd_ang_m;II_Hyd_ang_f;II_Hyd_ins_m;II_Hyd_ins_f;II_Hyd_pel_m;II_Hyd_pel_f;II_Hyd_sax_m;II_Hyd_sax_f;II_Hyd_sil_m;II_Hyd_sil_f;II_Hyd_sp_m;II_Hyd_sp_f;II_Hpt_ang_m;II_Hpt_ang_f;II_Hpt_pul_m;II_Hpt_pul_f;II_Hpt_spa_m;II_Hpt_spa_f;II_Las_bas_m;II_Las_bas_f;II_Lim_aur_m;II_Lim_aur_f;II_Lim_bip_m;II_Lim_bip_f;II_Lim_cen_m;II_Lim_cen_f;II_Lim_ext_m;II_Lim_ext_f;II_Lim_fus_m;II_Lim_fus_f;II_Lim_gri_m;II_Lim_gri_f;II_Lim_hir_m;II_Lim_hir_f;II_Lim_lun_m;II_Lim_lun_f;II_Lim_ign_m;II_Lim_ign_f;II_Lim_rho_m;II_Lim_rho_f;II_Lim_spa_m;II_Lim_spa_f;II_Lyp_pha_m;II_Lyp_pha_f;II_Lyp_red_m;II_Lyp_red_f;II_Mic_lon_m;II_Mic_lon_f;II_Mpt_lat_m;II_Mpt_lat_f;II_Mpt_nyc_m;II_Mpt_nyc_f;II_Mpt_seq_m;II_Mpt_seq_f;II_Mys_lon_m;II_Mys_lon_f;II_Mys_nig_m;II_Mys_nig_f;II_Odo_alII_m;II_Odo_alII_f;II_Par_pic_m;II_Par_pic_f;II_Ple_con_m;II_Ple_con_f;II_Pol_fla_m;II_Pol_fla_f;II_Pot_cin_m;II_Pot_cin_f;II_Pot_lat_m;II_Pot_lat_f;II_Pot_luc_m;II_Pot_luc_f;II_Pot_nig_m;II_Pot_nig_f;II_Psy_pus_m;II_Psy_pus_f;II_Pti_gra_m;II_Pti_gra_f;II_Rhy_fas_m;II_Rhy_fas_f;II_Rhy_nuII_m;II_Rhy_nuII_f;II_Ser_fla_m;II_Ser_fla_f;II_Ser_per_m;II_Ser_per_f;II_Sil_pal_m;II_Sil_pal_f;II_Ste_per_m;II_Ste_per_f;II_Syn_mos_m;II_Syn_mos_f;II_Tin_pal_m;II_Tin_pal_f;II_Tin_ros_m;II_Tin_ros_f;II_Tin_wae_m;II_Tin_wae_f;II_Wor_occ_m;II_Wor_occ_f;B -TTT-m;B -TTT-f;II_TTT
2008;7;21;18;23;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;7;3;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;0;4;0;1;;;;;;;4;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;3;2;;;;;;;7;15;;;;;;;
2008;7;30;6;20;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;6;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;2;4;;;;;;;;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;2;0;;;;;;;;;;;;;;;2;0;;;;;7;1;;;;;;;;;5;5;;;0;1;;;
2008;8;5;4;2;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;4;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;0;2;;;;;;;;;;;;;;;0;2;;;;;;;
2008;8;11;1;6;;;;;;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;8;1;0;;;;;;;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;3;;;;;;;;;;;;;;;;;;;0;1;;;
2008;8;25;;;4;8;;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;0;3;;;;;;;;;;;;;;;;;;;2;1;;;
2008;9;1;;;2;2;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;6;;;;;0;1;;;;;;;;;;;;;2;4;;;
2008;9;16;;;1;2;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;;;;;;;;;;;;;;;;;;;4;17;;;
2008;9;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;;;;;;;;;;;;;;;;;;;9;20;;;
2008;10;6;;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;11;;;
2008;10;13;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;4;8;;;
2008;10;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;8;7;;;
2008;10;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;8;;;
2008;11;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;;;
2008;11;10;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;
2008;12;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;2;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;2;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;2;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39;27;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;30;;;;;;;;;;;;;;;;;;;;;;;;6;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;3;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;10;;;;;;;;;;;;;;;;;;;;;;;;11;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;3;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;6;;;;;;;;;;;;;;;;;;;;;;;;7;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;3;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;5;;;;;;;;;;;;;;;;;;;;;;;;7;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;3;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;4;6;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;1;0;;;;;4;0;1;0;4;;;;;;;;;;0;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;4;13;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;1;0;0;1;;;;7;0;;;;;4;0;;;11;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;4;20;;;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;0;;;;;;;;;;;;;8;9;;;;;;27;0;;;;;8;0;;;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;4;27;3;1;15;7;;;;;;;;;1;;1;2;;;;;;;;;;;;;;;;;;;;;;;;0;2;;;;;;;;;;;;;9;12;0;0;;;;29;0;;;1;0;5;0;0;1;39;;;;;;1;0;3;0;0;0;;;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;5;4;2;1;48;19;;;;;;;;;;;5;1;;;;;;;;;;;;;;;;;;;;1;;;;0;1;;;;;;;;;;;;;15;7;;;;;;13;0;;;;;2;0;1;0;28;;;;;;;;30;5;;;;;10;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;5;12;7;5;86;55;;;;;;;;;;;4;3;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;12;11;0;0;;;;9;0;;;0;0;3;0;0;0;16;;;;;;0;1;101;27;0;0;;;13;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;;;;;;;;;;;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;5;18;31;33;19;15;;;6;4;;;;;;4;6;5;;;;;;;;;;;;;;;;;;;;2;1;;;1;0;;;;;0;1;;;;;;;11;11;0;0;;;;1;0;;;0;0;1;0;1;2;5;;;;;;1;1;46;54;0;0;;;12;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;2;;;;;;;;;;;;;;;1;0;;;;;;;1;1;;;;;;;
2009;5;25;50;50;8;3;;;33;22;;;;;1;;4;2;;;;;1;;;;;;;;;;;;;;;5;3;;;0;1;;;;;;;;;;;;;7;10;;;;;;;;;;;;;;;;2;;;;;;;;49;76;;;;;6;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;16;10;;;;;;;;;;;;;0;2;2;0;;;;;;;7;15;;;;;;;
2009;6;1;38;43;1;3;;;20;10;;;;;;;4;3;;;;;;;;;;;;;;;;;;;;8;3;;;;;;;;;;;;;;;;;3;6;;;;;;1;0;;;;;1;0;1;0;3;;;;;;;;42;54;;;;;5;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;1;;;;;;;;14;7;;;;;;;0;2;;;;;1;4;6;1;;;;;;;10;89;;;;;;;
2009;6;8;16;17;1;2;;;5;3;;;;;3;5;2;1;;;;;;;;;;;;;;;;;;;;9;9;;;;;;;;;2;0;;;;;;;1;4;;;;;;;;;;;;;;;;2;;;;;;;;37;17;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;6;2;;;;;;;0;2;;;;;6;5;4;0;;;;;;;11;110;;;2;;;;
2009;6;15;11;9;;;;;;;;;;;4;9;2;2;;;;;2;1;;;;;;;;;;;;;;5;7;;;;;;;;;1;;;;;;;;;3;;;;;;;;;;;;;;1;;2;;;;;;;;17;16;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;2;2;2;3;;;;;;;9;131;;;;;;;
2009;6;22;29;34;5;3;;;1;;;;;;;;4;3;;;;;;;;;;;;;;;;;;;;4;3;;;;;;;;;0;4;;;;;;;1;2;;;;;;;;;;;;;;;;2;;;;;;;;9;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;0;1;;;;;12;7;0;1;;;;;;;22;93;;;;;;;
2009;6;29;30;25;;;;;;;;;;;;2;1;5;;;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;2;;6;12;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;3;9;;;;;;;;;;;;;;;;;;;;;17;8;;;;;;;;;15;120;;;1;5;;;
2009;7;6;67;71;2;1;;;;;;;;;3;3;;2;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;2;4;7;3;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;5;;;;;;;;;;;;;;;;;;;;;15;7;1;1;;;;;;;34;117;;;0;4;;;
2009;7;14;17;18;5;3;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;2;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;9;;;;;;;;;;;;;;;;;;;;;14;8;1;0;;;;;;;32;33;;;0;2;;;
2009;7;20;20;11;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;2;7;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;;2;0;;;;;;;;;;;;;;;;;;;;;7;4;1;1;;;;;;;23;18;;;1;1;;;
2009;7;27;7;12;;;;;;;;;;;1;;4;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;;;4;4;;;;;;;;;;;;;;;;;;;;;5;5;; ;;;;;;;6;19;;;0;1;;;
2009;8;3;1;2;2;2;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;;1;3;;;;;;;;;;;;;;;0;1;;;;;1;2;;;;;;;;;2;5;;;0;2;;;
2009;8;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;17;9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
